Client Name,Email,Start Date,Retainer Amount,Paid Amount,Payment Date,Next Due Date,Payment Status,Contract Status
"Tran, Brown and Elliott",kelly33@hall-lopez.info,2024-10-17,1000,500,2024-12-31,2025-01-30,Partial,Ended
Gonzalez-Palmer,shawnlong@newton.com,2025-04-26,1000,0,2025-07-04,2025-08-03,Partial,Active
Ross-Short,mayamanda@moore.com,2024-09-23,2500,0,2024-11-28,2024-12-28,Overdue,Ended
Mccoy-Hawkins,wilsonluis@carter-smith.biz,2025-05-14,1500,0,2025-06-07,2025-07-07,Partial,Active
Hanson-Quinn,lynnscott@steele.com,2023-08-07,1500,750,2023-10-20,2023-11-19,Partial,Ended
Martinez-Stephens,catherine04@burch.com,2025-03-30,2500,2500,2025-04-26,2025-05-26,Paid,Ended
Meyer Ltd,ricejason@pruitt.com,2025-01-02,1500,0,2025-01-22,2025-02-21,Overdue,Ended
Stewart Group,ybentley@wilson.com,2024-12-16,2500,2500,2025-03-12,2025-04-11,Paid,Ended
"Moses, Calderon and Wilson",mbrown@richardson.net,2025-01-18,1000,0,2025-04-04,2025-05-04,Overdue,Ended
Shaw Ltd,morrisbeverly@bernard.com,2024-03-31,2000,1000,2024-06-01,2024-07-01,Partial,Ended
"Ortiz, Smith and Smith",derek11@elliott.com,2025-03-10,2500,0,2025-05-31,2025-06-30,Partial,Active
Gilmore-Jordan,robertrobinson@hughes.com,2023-10-27,1500,1500,2023-12-23,2024-01-22,Paid,Ended
"Tapia, Mccall and Garcia",kentcourtney@soto.com,2023-08-09,500,250,2023-10-26,2023-11-25,Partial,Ended
Blair and Sons,kmathis@king-brown.biz,2023-09-28,2500,1250,2023-11-21,2023-12-21,Partial,Ended
"Carter, Gutierrez and Logan",harrisdestiny@tran-ramirez.com,2023-08-26,2500,0,2023-10-04,2023-11-03,Overdue,Ended
Andrews Inc,michellehayes@price.com,2023-12-20,2000,1000,2024-02-12,2024-03-13,Partial,Ended
Robinson-Bender,wedwards@porter.com,2024-05-23,1000,1000,2024-06-29,2024-07-29,Paid,Ended
Reid-Stevenson,lance36@wolfe-mcmillan.com,2023-09-25,500,250,2023-12-16,2024-01-15,Partial,Ended
"Pena, Wilkins and Grant",anthonydelgado@miller.com,2024-02-07,2000,1000,2024-04-29,2024-05-29,Partial,Ended
Moreno-Patton,myersjessica@boyd.com,2024-12-30,2500,2500,2025-03-10,2025-04-09,Paid,Ended
Salinas-Brown,tracy57@ball.com,2025-02-18,2500,2500,2025-04-07,2025-05-07,Paid,Ended
Torres PLC,leblancrebecca@jones-thomas.com,2024-07-30,1500,1500,2024-10-10,2024-11-09,Paid,Ended
Bryant LLC,pjones@mendez.info,2024-12-02,1500,1500,2024-12-23,2025-01-22,Paid,Ended
"Johnson, Daugherty and Adams",kristen85@crane.net,2024-08-24,2500,1250,2024-09-25,2024-10-25,Partial,Ended
Casey LLC,juarezholly@woods.net,2023-07-26,2000,1000,2023-09-09,2023-10-09,Partial,Ended
Jackson and Sons,coltonmiller@carpenter-bailey.com,2023-09-05,500,0,2023-10-16,2023-11-15,Overdue,Ended
Myers Group,maryrodriguez@kelley-baker.com,2023-10-02,2000,0,2023-11-18,2023-12-18,Overdue,Ended
Scott PLC,michaeljones@strong.com,2025-04-27,2000,0,2025-05-30,2025-06-29,Partial,Active
Bautista-Kim,gonzalezricky@sampson-camacho.net,2024-06-26,500,500,2024-07-19,2024-08-18,Paid,Ended
Haley PLC,rfranklin@thompson.com,2024-02-01,1500,0,2024-02-22,2024-03-23,Overdue,Ended
Ryan-Adams,johnsonlinda@valdez.com,2024-02-12,500,0,2024-03-13,2024-04-12,Overdue,Ended
Keller PLC,alexismartin@arnold.com,2025-03-29,500,500,2025-05-15,2025-06-14,Paid,Ended
Hurley-Harrison,jennifer22@davidson-sanchez.org,2025-04-12,1500,0,2025-06-17,2025-07-17,Partial,Active
"Gibson, Johnson and Barker",nicolas57@smith.org,2024-05-30,1500,750,2024-07-13,2024-08-12,Partial,Ended
Long-Johnson,susanali@perez.com,2024-11-20,1000,0,2025-02-04,2025-03-06,Overdue,Ended
Taylor-Stevens,wschroeder@bailey-sampson.info,2025-02-05,1500,750,2025-03-07,2025-04-06,Partial,Ended
Liu Ltd,amy73@miller.com,2024-01-10,2500,2500,2024-02-18,2024-03-19,Paid,Ended
Taylor-Phillips,roberta04@benson.com,2025-05-06,1000,0,2025-06-20,2025-07-20,Partial,Active
"Fernandez, Davis and Maddox",victoriarodriguez@thomas-williams.com,2025-01-03,1000,500,2025-03-01,2025-03-31,Partial,Ended
Rhodes-Rivera,christiancharles@duncan-hardin.com,2025-03-06,1000,1000,2025-04-28,2025-05-28,Paid,Ended
Lewis-Reed,greenwilliam@williams-watkins.org,2025-03-30,2500,1250,2025-06-20,2025-07-20,Partial,Active
Jones-Barnes,shafferdenise@ortiz.org,2024-08-20,1500,0,2024-10-15,2024-11-14,Overdue,Ended
"Kelley, Sanchez and Cisneros",joshuaandrade@grimes.net,2024-01-11,1500,1500,2024-04-02,2024-05-02,Paid,Ended
Jones Inc,nicole57@morris.net,2024-12-08,2000,0,2025-01-25,2025-02-24,Overdue,Ended
"Tucker, Ray and Miranda",williamswendy@arias-harris.net,2024-09-16,1500,1500,2024-12-14,2025-01-13,Paid,Ended
Mitchell-Vazquez,vrodriguez@ryan.net,2024-03-13,500,0,2024-05-12,2024-06-11,Overdue,Ended
Cross-Walsh,ismith@hill-harrell.com,2023-12-04,2000,0,2024-01-29,2024-02-28,Overdue,Ended
